PWID	Pathwaytitle	geneProduct	genename	ensembl	types
WP4875	Disruption of postsynaptic signaling by CNV	ENSG00000106089	STX1A	ENSG00000106089	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#GeneProduct
WP2781	Signaling by ERBB4	P02649	APOE	ENSG00000130203	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#GeneProduct|http://vocabularies.wikipathways.org/wp#Protein
WP4657	22q11.2 copy number variation syndrome	MIMAT0003319	hsa-mir-649		http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#Rna
WP5408	15q25 copy number variation	ENSG00000156218	ADAMTSL3	ENSG00000156218	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#GeneProduct
WP4657	22q11.2 copy number variation syndrome	ENSG00000107796	ACTA2 gene	ENSG00000107796	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#GeneProduct
WP2781	Signaling by ERBB4	Q9NYJ8	TAB2	ENSG00000055208	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#Protein
WP4932	7q11.23 copy number variation syndrome	ENSG00000110955	ATP5B	ENSG00000110955	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#GeneProduct|http://vocabularies.wikipathways.org/wp#Protein
WP4906	3q29 copy number variation syndrome	ENSG00000213066	FGFR1OP	ENSG00000213066	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#GeneProduct
WP5402	10q22q23 copy number variation	CHEBI:33019	diphosphate(3−)		http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#Metabolite
WP3584	MECP2 and associated Rett syndrome	ENSG00000138685	FGF2	ENSG00000138685	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#GeneProduct|http://vocabularies.wikipathways.org/wp#Protein
WP2781	Signaling by ERBB4	P0CG48	Ub-391-UBC(381-456)	ENSG00000150991	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#GeneProduct|http://vocabularies.wikipathways.org/wp#Protein
WP5402	10q22q23 copy number variation	CHEBI:29103	potassium		http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#Metabolite
WP4932	7q11.23 copy number variation syndrome	ENSG00000137309	HMGA1	ENSG00000137309	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#GeneProduct
WP5402	10q22q23 copy number variation	CHEBI:33019	6 PP		http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#Metabolite
WP5406	13q12.12 copy number variation	ENSG00000107643	JNK	ENSG00000107643	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#GeneProduct
WP4657	22q11.2 copy number variation syndrome	ENSG00000070413	DGCR2	ENSG00000070413	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#GeneProduct
WP4657	22q11.2 copy number variation syndrome	ENSG00000105695	MAG gene	ENSG00000105695	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#GeneProduct|http://vocabularies.wikipathways.org/wp#Protein
WP4657	22q11.2 copy number variation syndrome	CHEBI:15422	ATP		http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#Metabolite
WP5346	8p23.1 copy number variation syndrome	3137320	Talazoparib		http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#Metabolite
WP3584	MECP2 and associated Rett syndrome	ENSG00000140443	IGF1rec	ENSG00000140443	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#GeneProduct|http://vocabularies.wikipathways.org/wp#Protein
WP4906	3q29 copy number variation syndrome	CHEBI:57379	Palmitoyl-CoA		http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#Metabolite
WP4657	22q11.2 copy number variation syndrome	ENSG00000099960	SLC7A4	ENSG00000099960	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#GeneProduct
WP4657	22q11.2 copy number variation syndrome	ENSG00000133794	BMAL1	ENSG00000133794	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#GeneProduct
WP5408	15q25 copy number variation	ENSG00000159082	SYNJ1	ENSG00000159082	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#GeneProduct
WP4932	7q11.23 copy number variation syndrome	Q03468	Ub-ERCC6	ENSG00000225830	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#GeneProduct|http://vocabularies.wikipathways.org/wp#Protein
WP4906	3q29 copy number variation syndrome	ENSG00000096717	NAD-dependent protein deacetylase sirtuin-1	ENSG00000096717	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#GeneProduct
WP5346	8p23.1 copy number variation syndrome	WP183	Proteasomal Degradation		http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#Pathway
WP4940	15q11.2 copy number variation syndrome	ENSG00000273749	CYFIP1	ENSG00000273749	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#GeneProduct
WP2781	Signaling by ERBB4	P0CG48	adenylatedG76-UBC(1-76)	ENSG00000150991	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#GeneProduct|http://vocabularies.wikipathways.org/wp#Protein
WP2781	Signaling by ERBB4	P01111	S-Farn-Me PalmS NRAS	ENSG00000213281	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#Protein
WP2781	Signaling by ERBB4	CHEBI:15996	Guanosine triphosphate		http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#Metabolite
WP4905	1q21.1 copy number variation syndrome	ENSG00000244371	PFN1P8	ENSG00000244371	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#GeneProduct
WP5412	8q11.23 (RB1CC1) copy number variation	ENSG00000141510	p53	ENSG00000141510	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#GeneProduct|http://vocabularies.wikipathways.org/wp#Protein
WP4222	Phosphodiesterases in neuronal function	ENSG00000118260	CREB1	ENSG00000118260	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#GeneProduct|http://vocabularies.wikipathways.org/wp#Protein
WP4222	Phosphodiesterases in neuronal function	CHEBI:104872	Rolipram		http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#Metabolite
WP2781	Signaling by ERBB4	ENSG00000178568	ERBB4	ENSG00000178568	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#GeneProduct|http://vocabularies.wikipathways.org/wp#Protein
WP4942	15q13.3 copy number variation syndrome	CHEBI:15355	AcCho		http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#Metabolite
WP2781	Signaling by ERBB4	P62987	Ub-63-UBA52(1-76)	ENSG00000221983	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#GeneProduct|http://vocabularies.wikipathways.org/wp#Protein
WP5402	10q22q23 copy number variation	CHEBI:18420	Mg2+ [plasma membrane]		http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#Metabolite
WP2781	Signaling by ERBB4	R-HSA-1251980	ERBB4s80		http://vocabularies.wikipathways.org/wp#Complex|http://vocabularies.wikipathways.org/wp#DataNode
WP5399	NPHP1 deletion syndrome	ENSG00000119509	INVS	ENSG00000119509	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#GeneProduct
WP4905	1q21.1 copy number variation syndrome	CHEBI:17735	N,N-dimethylaniline N-oxide		http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#Metabolite
WP4657	22q11.2 copy number variation syndrome	ENSG00000161149	TUBA3FP	ENSG00000161149	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#GeneProduct
WP5406	13q12.12 copy number variation	ENSG00000127863	TNFRSF19	ENSG00000127863	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#GeneProduct
WP4905	1q21.1 copy number variation syndrome	ENSG00000105289	TJP3	ENSG00000105289	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#GeneProduct
WP4932	7q11.23 copy number variation syndrome	ENSG00000146755	TRIM50	ENSG00000146755	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#GeneProduct
WP2781	Signaling by ERBB4	P00533	EGFR L747_A750delinsP	ENSG00000146648	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#Protein
WP4905	1q21.1 copy number variation syndrome	WP1591	Heart development		http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#Pathway
WP4932	7q11.23 copy number variation syndrome	P18640	botC HC disulfide bonded		http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#Protein
WP4875	Disruption of postsynaptic signaling by CNV	CHEBI:29108	calcium(2+)		http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#Metabolite
WP5408	15q25 copy number variation	ENSG00000132155	CRAF	ENSG00000132155	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#GeneProduct
WP2781	Signaling by ERBB4	R-HSA-9612613	GABRA1 heteropentamers:GABA		http://vocabularies.wikipathways.org/wp#Complex|http://vocabularies.wikipathways.org/wp#DataNode
WP4657	22q11.2 copy number variation syndrome	CHEBI:18357	NAd		http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#Metabolite
WP2781	Signaling by ERBB4	P0CG48	Ub-215-UBC(153-228)	ENSG00000150991	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#GeneProduct|http://vocabularies.wikipathways.org/wp#Protein
WP5407	15q11q13 copy number variation	ENSG00000165887	ANKRD2	ENSG00000165887	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#GeneProduct
WP3584	MECP2 and associated Rett syndrome	MIMAT0001639	hsa-miR-409-3p		http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#Rna
WP4942	15q13.3 copy number variation syndrome	ENSG00000103832	GOLGA8UP	ENSG00000103832	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#GeneProduct
WP4942	15q13.3 copy number variation syndrome	ENSG00000169926	KLF13	ENSG00000169926	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#GeneProduct
WP4657	22q11.2 copy number variation syndrome	ENSG00000040608	RTN4R	ENSG00000040608	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#GeneProduct
WP4657	22q11.2 copy number variation syndrome	ENSG00000108424	importin beta	ENSG00000108424	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#GeneProduct
WP4932	7q11.23 copy number variation syndrome	CHEBI:15355	O-acetylcholine [clathrin-sculpted acetylcholine transport vesicle lumen]		http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#Metabolite
WP2781	Signaling by ERBB4	R-HSA-157343	gamma-secretase complex		http://vocabularies.wikipathways.org/wp#Complex|http://vocabularies.wikipathways.org/wp#DataNode
WP4906	3q29 copy number variation syndrome	ENSG00000105697	HAMP	ENSG00000105697	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#GeneProduct|http://vocabularies.wikipathways.org/wp#Protein
WP5346	8p23.1 copy number variation syndrome	CHEBI:46858	L-tyrosyl-[protein]		http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#Metabolite
WP4906	3q29 copy number variation syndrome	ENSG00000091513	foetal TF	ENSG00000091513	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#GeneProduct|http://vocabularies.wikipathways.org/wp#Protein
WP3584	MECP2 and associated Rett syndrome	ENSG00000108055	SMC3	ENSG00000108055	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#GeneProduct
WP3584	MECP2 and associated Rett syndrome	ENSG00000196132	MYT1	ENSG00000196132	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#GeneProduct
WP5406	13q12.12 copy number variation	WP254	Apoptosis		http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#Pathway
WP4657	22q11.2 copy number variation syndrome	CHEBI:1582	3-MT		http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#Metabolite
WP4657	22q11.2 copy number variation syndrome	WP254	Apoptosis		http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#Pathway
WP4906	3q29 copy number variation syndrome	CHEBI:57379	hexadecanoyl-CoA		http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#Metabolite
WP5408	15q25 copy number variation	ENSG00000132155	Ras	ENSG00000132155	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#GeneProduct
WP5402	10q22q23 copy number variation	CHEBI:18420	Magnesium 2+		http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#Metabolite
WP5407	15q11q13 copy number variation	ENSG00000197822	OCLN	ENSG00000197822	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#GeneProduct
WP2781	Signaling by ERBB4	ENSG00000130203	APOE gene	ENSG00000130203	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#GeneProduct|http://vocabularies.wikipathways.org/wp#Protein
WP2781	Signaling by ERBB4	P03372	PalmS-ESR1	ENSG00000091831	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#Protein
WP4932	7q11.23 copy number variation syndrome	WP254	apoptosis		http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#Pathway
WP5346	8p23.1 copy number variation syndrome	CHEBI:58349	NADP+		http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#Metabolite
WP2781	Signaling by ERBB4	P0CG48	adenylatedG228-UBC(153-228)	ENSG00000150991	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#GeneProduct|http://vocabularies.wikipathways.org/wp#Protein
WP5346	8p23.1 copy number variation syndrome	WP428	Wnt signaling pathway		http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#Pathway
WP4657	22q11.2 copy number variation syndrome	ENSG00000229107	ABHD17AP4	ENSG00000229107	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#GeneProduct
WP5407	15q11q13 copy number variation	Q9BQI6	SLF1	ENSG00000133302	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#GeneProduct
WP4083	Reelin signaling pathway	O75553	p-Y198,220,232-DAB1	ENSG00000173406	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#Protein
WP4657	22q11.2 copy number variation syndrome	http://rdf.wikipathways.org/Pathway/WP4657_r120007/Complex/eae08	GATOR1 complex		http://vocabularies.wikipathways.org/wp#Complex|http://vocabularies.wikipathways.org/wp#DataNode
WP4932	7q11.23 copy number variation syndrome	WP428	Wnt Signaling Pathway		http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#Pathway
WP5407	15q11q13 copy number variation	ENSG00000034053	APBA2	ENSG00000034053	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#GeneProduct
WP5346	8p23.1 copy number variation syndrome	WP428	Canonical  Wnt Signaling		http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#Pathway
WP5402	10q22q23 copy number variation	CHEBI:29108	Ca++		http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#Metabolite
WP3584	MECP2 and associated Rett syndrome	ENSG00000105695	MAG	ENSG00000105695	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#GeneProduct|http://vocabularies.wikipathways.org/wp#Protein
WP408	Oxidative stress response	10587	TRXR2	ENSG00000184470	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#GeneProduct|http://vocabularies.wikipathways.org/wp#Protein
WP5406	13q12.12 copy number variation	WP254	apoptosis		http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#Pathway
WP4906	3q29 copy number variation syndrome	ENSG00000213123	TCTEX1D2	ENSG00000213123	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#GeneProduct
WP4932	7q11.23 copy number variation syndrome	ENSG00000184113	CLDN5	ENSG00000184113	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#GeneProduct
WP3584	MECP2 and associated Rett syndrome	HMDB0000216	Noradrenaline		http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#Metabolite
WP5408	15q25 copy number variation	ENSG00000166716	ZNF592	ENSG00000166716	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#GeneProduct
WP2781	Signaling by ERBB4	P0CG48	adenylatedG684-UBC(609-684)	ENSG00000150991	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#GeneProduct|http://vocabularies.wikipathways.org/wp#Protein
WP4657	22q11.2 copy number variation syndrome	WP497	Urea cycle		http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#Pathway
WP4932	7q11.23 copy number variation syndrome	ENSG00000071462	BUD23	ENSG00000071462	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#GeneProduct
WP5402	10q22q23 copy number variation	CHEBI:15377	2 H2O		http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#Metabolite
WP4657	22q11.2 copy number variation syndrome	ENSG00000264346	SNORA77B	ENSG00000264346	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#GeneProduct
WP4875	Disruption of postsynaptic signaling by CNV	ENSG00000145349	CaMK2	ENSG00000145349	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#GeneProduct|http://vocabularies.wikipathways.org/wp#Protein
WP2781	Signaling by ERBB4	P00533	p-6Y-EGFR	ENSG00000146648	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#Protein
WP4657	22q11.2 copy number variation syndrome	WP558	Coagulation disturbances		http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#Pathway
WP4657	22q11.2 copy number variation syndrome	HMDB0002104	L-Glutamic gamma-semialdehyde		http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#Metabolite
WP5407	15q11q13 copy number variation	ENSG00000107554	DNMBP	ENSG00000107554	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#GeneProduct
WP5346	8p23.1 copy number variation syndrome	CHEBI:33019	Diphosphate		http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#Metabolite
WP5399	NPHP1 deletion syndrome	ENSG00000131697	NPHP4	ENSG00000131697	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#GeneProduct
WP4657	22q11.2 copy number variation syndrome	ENSG00000184702	SEPTIN5	ENSG00000184702	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#GeneProduct
WP4932	7q11.23 copy number variation syndrome	WP78	citrate cycle		http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#Pathway
WP5407	15q11q13 copy number variation	IPR004031	Claudins		http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#GeneProduct
WP5402	10q22q23 copy number variation	CHEBI:33019	7 PP		http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#Metabolite
WP2781	Signaling by ERBB4	Q8WW43	APH1B	ENSG00000138613	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#Protein
WP4657	22q11.2 copy number variation syndrome	ENSG00000171720	HDAC3	ENSG00000171720	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#GeneProduct
WP4906	3q29 copy number variation syndrome	ENSG00000214097	SMCO1	ENSG00000214097	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#GeneProduct
WP2781	Signaling by ERBB4	P00533	EGFR G719A	ENSG00000146648	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#Protein
WP5402	10q22q23 copy number variation	CHEBI:15377	H20		http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#Metabolite
WP4942	15q13.3 copy number variation syndrome	ENSG00000277467	RN7SL628P	ENSG00000277467	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#GeneProduct
WP4657	22q11.2 copy number variation syndrome	ENSG00000164107	Hand2	ENSG00000164107	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#GeneProduct
WP4905	1q21.1 copy number variation syndrome	WP1980	Base Excision Repair		http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#Pathway
WP4906	3q29 copy number variation syndrome	ENSG00000225822	UBXN7-AS1	ENSG00000225822	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#Rna
WP4083	Reelin signaling pathway	R-HSA-8855226	RELN:VLDLR:p-Y198,220,232-DAB1:SH3KBP1		http://vocabularies.wikipathways.org/wp#Complex|http://vocabularies.wikipathways.org/wp#DataNode
WP3584	MECP2 and associated Rett syndrome	ENSG00000142208	AKT	ENSG00000142208	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#GeneProduct|http://vocabularies.wikipathways.org/wp#Protein
WP5406	13q12.12 copy number variation	ENSG00000131323	TRAF3	ENSG00000131323	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#GeneProduct|http://vocabularies.wikipathways.org/wp#Protein
WP4222	Phosphodiesterases in neuronal function	ENSG00000176884	GRIN1	ENSG00000176884	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#GeneProduct
WP4657	22q11.2 copy number variation syndrome	WP497	Urea cycle and metabolism of amino groups		http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#Pathway
WP4875	Disruption of postsynaptic signaling by CNV	57502	NLGN4X	ENSG00000146938	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#GeneProduct
WP4657	22q11.2 copy number variation syndrome	WP1591	Heart development		http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#Pathway
WP5346	8p23.1 copy number variation syndrome	ENSG00000100030	ERK1/2	ENSG00000100030	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#GeneProduct|http://vocabularies.wikipathways.org/wp#Pathway|http://vocabularies.wikipathways.org/wp#Protein
WP5406	13q12.12 copy number variation	ENSG00000181092	Adiponectin	ENSG00000181092	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#GeneProduct
WP4906	3q29 copy number variation syndrome	ENSG00000273331	TM4SF19-TCTEX1D2	ENSG00000273331	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#Rna
WP4932	7q11.23 copy number variation syndrome	ENSG00000172757	CFL1 gene	ENSG00000172757	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#GeneProduct
WP4905	1q21.1 copy number variation syndrome	ENSG00000278811	LINC00624	ENSG00000278811	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#Rna
WP2781	Signaling by ERBB4	P62979	adenylatedlG76-RPS27A(1-76)	ENSG00000143947	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#GeneProduct|http://vocabularies.wikipathways.org/wp#Protein
WP4932	7q11.23 copy number variation syndrome	WP428	Wnt Pathway		http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#Pathway
WP5346	8p23.1 copy number variation syndrome	ENSG00000183638	RP1L1	ENSG00000183638	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#GeneProduct
WP3584	MECP2 and associated Rett syndrome	ENSG00000168769	TET2	ENSG00000168769	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#GeneProduct
WP4932	7q11.23 copy number variation syndrome	WP3965	Fatty Acid  Synthesis		http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#Pathway
WP5399	NPHP1 deletion syndrome	ENSG00000144061	NPHP1	ENSG00000144061	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#GeneProduct
WP4906	3q29 copy number variation syndrome	ENSG00000225578	NCBP2-AS1	ENSG00000225578	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#Rna
WP5346	8p23.1 copy number variation syndrome	ENSG00000136573	BLK gene	ENSG00000136573	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#GeneProduct
WP4657	22q11.2 copy number variation syndrome	ENSG00000198911	SREBP2	ENSG00000198911	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#GeneProduct
WP4906	3q29 copy number variation syndrome	ENSG00000142208	AKT	ENSG00000142208	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#GeneProduct|http://vocabularies.wikipathways.org/wp#Protein
WP2781	Signaling by ERBB4	R-HSA-1252016	ERBB4s80		http://vocabularies.wikipathways.org/wp#Complex|http://vocabularies.wikipathways.org/wp#DataNode
WP4657	22q11.2 copy number variation syndrome	ENSG00000072310	nSREBP1a,-c	ENSG00000072310	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#GeneProduct|http://vocabularies.wikipathways.org/wp#Protein
WP2781	Signaling by ERBB4	P0CG48	UBC(381-456)	ENSG00000150991	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#GeneProduct|http://vocabularies.wikipathways.org/wp#Protein
WP2781	Signaling by ERBB4	P46934	NEDD4	ENSG00000069869	http://vocabularies.wikipathways.org/wp#DataNode|http://vocabularies.wikipathways.org/wp#Protein
